"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.64,104.65,103.41,104.65,104.65,104.65,1760,1.83,"12-Aug-2026",12,"",""
"2","20MICRONS","EQ",183.35,188,183.01,184.13,183.52,185.92,106819,197.84,"12-Aug-2026",2831,"",""
"3","21STCENMGM","EQ",41.47,43.15,41.47,42.36,42.2,42.31,34769,14.67,"12-Aug-2026",123,"",""
"4","360ONE","EQ",1160,1167.5,1140,1161,1161,1168,997529,11504.7,"12-Aug-2026",21486,"",""
"5","3BBLACKBIO","EQ",1216.8,1270,1190,1251.1,1255,1208,5704,70.04,"12-Aug-2026",786,"",""
"6","3IINFOLTD","EQ",27.8,27.8,26.75,27.47,27.51,27.6,960631,262.34,"12-Aug-2026",2913,"",""
"7","3MINDIA","EQ",36300,36390,35760,35935,35865,36115,2637,947.89,"12-Aug-2026",1401,"",""
"8","3PLAND","EQ",32.2,32.2,31.6,31.99,32,32.17,3918,1.25,"12-Aug-2026",48,"",""
"9","5PAISA","EQ",377.35,392,376.55,387.05,388.5,377.35,70773,272.95,"12-Aug-2026",3980,"",""
"10","603GS2029","GS",100.36,100.36,97.8,98.21,98.31,100.36,451,0.45,"12-Aug-2026",7,"",""
"11","610GS2031","GS",100,101,98,98.01,101,97.71,500,0.49,"12-Aug-2026",3,"",""
"12","636GS2031","GS",102.1,102.5,102.1,102.5,102.5,102.1,2700,2.76,"12-Aug-2026",4,"",""
"13","63MOONS","EQ",858,880,826,867.4,879.8,858.65,382822,3251.51,"12-Aug-2026",13654,"",""
"14","648GS2035","GS",99.6,100.3,99,100.3,100.3,99.5,20050,19.98,"12-Aug-2026",5,"",""
"15","654GS2032","GS",100.79,100.9,100.79,100.86,100.9,100,27723,27.96,"12-Aug-2026",6,"",""
"16","662GS2051","GS",92.45,92.45,92.45,92.45,92.45,92.45,2,0,"12-Aug-2026",1,"",""
"17","664GS2035","GS",97.6,98,97.6,98,98,97.69,104,0.1,"12-Aug-2026",2,"",""
"18","667GS2035","GS",106,106,106,106,106,103.49,10000,10.6,"12-Aug-2026",1,"",""
"19","667GS2050","GS",98,98,91.8,92.8,92.8,93.69,10520,9.74,"12-Aug-2026",6,"",""
"20","668GS2033","GS",101,101,101,101,101,99.91,1,0,"12-Aug-2026",1,"",""
"21","668GS2040","GS",97.6,98.25,97,98.1,98.1,97.6,13960,13.63,"12-Aug-2026",9,"",""
"22","676GS2061","GS",93.6,93.75,93.5,93.74,93.75,93.7,43545,40.74,"12-Aug-2026",19,"",""
"23","679GS2031","GS",102,102,102,102,102,102.1,100,0.1,"12-Aug-2026",1,"",""
"24","679GS2034","GS",103,103,103,103,103,100.5,1,0,"12-Aug-2026",1,"",""
"25","679GS2034A","GS",98.85,98.85,98.85,98.85,98.85,98.84,1,0,"12-Aug-2026",1,"",""
"26","690GS2065","GS",94.12,94.74,94,94.59,94.74,93.92,15700,14.79,"12-Aug-2026",8,"",""
"27","692GS2039","GS",100.5,101,100.5,101,101,101,2000,2.02,"12-Aug-2026",3,"",""
"28","694GS2036","GS",101,102.5,101,101.5,101.5,102.5,304,0.31,"12-Aug-2026",5,"",""
"29","695GS2061","GS",94,94.3,93.7,93.7,93.7,93.8,261,0.24,"12-Aug-2026",7,"",""
"30","698GR2054","GS",94,94,92.4,92.4,92.4,96.9,101,0.09,"12-Aug-2026",3,"",""
"31","699GS2051","GS",96.5,96.5,95.6,95.95,95.95,95.6,14509,13.93,"12-Aug-2026",8,"",""
"32","704GS2029","GS",102.51,102.51,102,102,102,103.55,175,0.18,"12-Aug-2026",2,"",""
