"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","AARTIIND","EQ",385.6,390.5,382.05,389.45,390,383.75,579613,2243.18,"19-Aug-2025",15931,"",""
"2","ABB","EQ",5038,5082,5007.5,5068,5071.5,5037.5,204663,10343.44,"19-Aug-2025",27993,"",""
"3","ABCAPITAL","EQ",284.75,289.6,279.5,287.35,287.55,283.15,5366409,15369.11,"19-Aug-2025",51305,"",""
"4","ABFRL","EQ",76.84,77.87,75.82,77.18,77.25,76.46,9508660,7333.34,"19-Aug-2025",42430,"",""
"5","ACC","EQ",1848,1871.5,1840.5,1859.5,1857,1843.5,375759,6989.28,"19-Aug-2025",22484,"",""
"6","ADANIENSOL","EQ",818.75,831.9,813.05,828.2,826.35,818.75,967227,7970.7,"19-Aug-2025",25430,"",""
"7","ADANIENT","EQ",2339.9,2395.6,2314.1,2388.4,2380.7,2333.6,1069432,25326.12,"19-Aug-2025",58469,"",""
"8","ADANIGREEN","EQ",942.05,975.5,937.45,973.4,971.75,941.65,1886130,18084.28,"19-Aug-2025",49292,"",""
"9","ADANIPORTS","EQ",1332,1371.7,1325,1369.4,1370,1327.2,3150673,42630.2,"19-Aug-2025",100126,"",""
"10","ALKEM","EQ",5353,5420,5297.5,5392,5400,5346,222257,11993.16,"19-Aug-2025",29948,"",""
"11","AMBUJACEM","EQ",593,595.55,587.3,592.4,593.15,590.05,1898159,11240.84,"19-Aug-2025",33051,"",""
"12","ANGELONE","EQ",2675,2690.9,2637,2677.8,2686.9,2666.9,454427,12138.62,"19-Aug-2025",28442,"",""
"13","APLAPOLLO","EQ",1605,1630.7,1602,1626.3,1624.1,1607,260095,4220.63,"19-Aug-2025",15230,"",""
"14","APOLLOHOSP","EQ",7830.5,7864.5,7800,7823.5,7808.5,7822.5,384598,30104.87,"19-Aug-2025",47095,"",""
"15","APOLLOTYRE","EQ",462,468,455.8,466.3,467,464.45,1237000,5730.1,"19-Aug-2025",44204,"",""
"16","ASHOKLEY","EQ",131.76,133.55,127.11,133.28,133.36,131.76,40387936,53038.81,"19-Aug-2025",134697,"",""
"17","ASIANPAINT","EQ",2587.4,2595,2561.2,2579.4,2581,2587.4,698587,18017.14,"19-Aug-2025",60592,"",""
"18","ASTRAL","EQ",1320.2,1370.9,1304,1366.1,1366.5,1313.7,1853945,25015.27,"19-Aug-2025",62058,"",""
"19","ATGL","EQ",625.6,633.3,625.05,628.75,629.3,623.55,473682,2981.52,"19-Aug-2025",15903,"",""
"20","AUBANK","EQ",760,765,754.15,758.5,757.25,761.55,826929,6285.98,"19-Aug-2025",27060,"",""
"21","AUROPHARMA","EQ",1092,1098.8,1086,1089.7,1087.7,1089.3,258816,2828.54,"19-Aug-2025",12245,"",""
"22","AXISBANK","EQ",1078,1095,1075.8,1083.2,1084.2,1082.6,5661531,61484.9,"19-Aug-2025",189223,"",""
"23","BAJAJ-AUTO","EQ",8609,8856,8586,8795.5,8771,8588.5,1052384,92390.39,"19-Aug-2025",95523,"",""
"24","BAJAJFINSV","EQ",1994,1997.6,1964.8,1972.2,1973.9,1993.5,1389770,27400.02,"19-Aug-2025",42178,"",""
"25","BAJFINANCE","EQ",905.95,909.9,890.5,902.3,902,905.2,5764382,51751.01,"19-Aug-2025",155937,"",""
"26","BALKRISIND","EQ",2428.1,2446.1,2402.2,2425.6,2425,2436.5,161493,3912.85,"19-Aug-2025",12991,"",""
"27","BANDHANBNK","EQ",167.32,174.42,165.54,174.01,173.99,167.15,7951208,13646.26,"19-Aug-2025",37244,"",""
"28","BANKBARODA","EQ",242.7,247.3,241.63,247.05,246.8,242.77,5767582,14135.02,"19-Aug-2025",37678,"",""
"29","BANKINDIA","EQ",114.93,116.65,114.4,116.49,116.5,114.86,5680882,6583.03,"19-Aug-2025",30257,"",""
"30","BEL","EQ",382.5,383.7,377.5,380.05,380.5,382.5,11111204,42143.35,"19-Aug-2025",130715,"",""
"31","BERGEPAINT","EQ",551.35,552.95,543.1,547.1,546.3,551.35,941567,5150.92,"19-Aug-2025",28187,"",""
